GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	isEAE_ceoff	isEAE_ELBO_gain	isEAE_pval	isEAE_FDR
ENSMUSG00000019261	16874	226	3.243e-01	-4.990e+00	7.458e-01	4.824e-01	8.435e-02	6.813e-01	8.247e-01
ENSMUSG00000031864	1985	160	1.531e-01	-6.189e+00	5.305e+00	3.784e-01	3.920e-01	3.759e-01	5.764e-01
ENSMUSG00000017421	48216	7330	5.045e-01	2.739e+00	4.509e+00	-3.185e+00	3.559e+01	3.248e-17	1.494e-15
ENSMUSG00000024498	3354	824	1.572e-01	3.987e+00	1.458e+00	-1.123e-01	1.814e-01	5.470e-01	7.087e-01
ENSMUSG00000087177	24697	347	1.889e-01	-4.855e+00	4.619e+00	-1.991e-02	1.931e-01	5.343e-01	7.087e-01
ENSMUSG00000052534.AS2	633	249	4.891e-02	3.131e+00	5.638e+00	-4.107e+00	1.554e+00	7.790e-02	1.886e-01
ENSMUSG00000063623.AS2	1098	238	5.435e-02	4.681e+00	2.636e+00	3.107e+00	5.522e-01	2.933e-01	4.819e-01
ENSMUSG00000053641	1893	256	1.110e-01	-7.896e+00	3.329e+00	2.748e+00	4.967e+00	1.623e-03	2.489e-02
ENSMUSG00000022412.AS2	650	123	4.937e-02	-3.011e+00	5.124e+00	1.565e+00	5.619e-01	2.891e-01	4.819e-01
ENSMUSG00000027323	550	268	1.495e-02	3.248e+00	3.032e+00	1.463e+00	2.190e-01	5.081e-01	6.678e-01
ENSMUSG00000021327	42434	897	3.166e-01	-6.390e+00	5.291e+00	-1.126e+00	1.593e+00	7.429e-02	1.886e-01
ENSMUSG00000022641.AS4	1444	259	5.797e-02	4.509e+00	5.476e-01	-9.366e-01	1.959e-01	5.314e-01	6.790e-01
ENSMUSG00000021518.AS2	15850	1369	3.505e-01	-8.678e+00	2.887e+00	-2.445e-01	-6.699e-01	1.000e+00	1.000e+00
ENSMUSG00000025217	1667	657	1.091e-01	4.051e+00	3.649e-01	-5.662e-01	1.217e-01	6.218e-01	7.412e-01
ENSMUSG00000029130	850	380	3.895e-02	8.819e+00	3.537e+00	-3.769e+00	1.128e+00	1.332e-01	2.917e-01
