GeneID	n_counts	n_counts_uniq	cdr	intercept	sigma	time_ceoff	time_ELBO_gain	time_pval	time_FDR
Mturn	4598	4598	6.983e-01	3.570e+00	8.154e-01	1.452e-03	-5.745e-01	1.000e+00	1.000e+00
Arnt2	2310	2310	4.064e-01	1.433e+00	7.304e-01	3.926e-03	1.865e+00	5.346e-02	2.689e-01
4930509G22Rik	349	349	3.914e-03	-2.771e+00	5.848e-01	-6.202e-03	-2.811e-01	1.000e+00	1.000e+00
Kpnb1	2299	2299	4.785e-01	3.897e+00	4.249e-01	-1.334e-03	-1.186e+00	1.000e+00	1.000e+00
Mbd6	554	554	1.474e-01	3.754e+00	4.214e-01	-2.483e-03	-4.515e+00	1.000e+00	1.000e+00
Vhl	928	928	2.244e-01	4.066e+00	4.832e-01	-1.356e-02	4.413e+00	2.970e-03	4.222e-02
Larp4	508	508	8.252e-02	7.089e-01	1.639e+00	-8.918e-03	1.720e+00	6.361e-02	2.971e-01
Ubp1	588	588	1.011e-01	7.195e-01	1.465e+00	-1.799e-03	-1.017e+00	1.000e+00	1.000e+00
Abcb8	586	586	1.373e-01	2.351e+00	8.938e-01	-9.435e-03	2.504e+00	2.523e-02	1.834e-01
Stag1	2577	2577	1.445e-01	-1.256e+00	1.069e+00	-7.759e-03	8.423e+00	4.056e-05	1.895e-03
Abcc4	1443	1443	9.459e-03	-3.411e+00	5.341e-01	-5.728e-03	6.500e-03	9.092e-01	1.000e+00
Pank4	588	588	1.393e-01	2.715e+00	1.355e+00	-1.108e-02	2.854e+00	1.689e-02	1.381e-01
Pde8b	583	583	1.990e-02	-1.974e+00	9.373e-01	-9.853e-03	2.586e+00	2.295e-02	1.706e-01
Wasl	1037	1037	2.205e-01	2.028e+00	1.120e+00	4.565e-03	9.380e-01	1.708e-01	4.968e-01
Pak3	4574	4574	6.233e-01	2.190e+00	9.180e-01	-9.739e-04	2.429e-02	8.255e-01	1.000e+00
Mms22l	345	345	1.794e-02	-1.801e+00	1.361e+00	-5.956e-03	6.139e-01	2.678e-01	6.585e-01
Rps7	7445	7445	8.611e-01	4.733e+00	3.623e-01	-1.562e-03	-9.133e-01	1.000e+00	1.000e+00
Bpgm	958	958	2.205e-01	3.213e+00	8.632e-01	-3.805e-03	6.774e-01	2.444e-01	6.157e-01
Grid2	2947	2947	1.598e-02	-3.922e+00	5.878e-01	2.792e-03	-3.088e-02	1.000e+00	1.000e+00
Nab1	1248	1248	2.260e-01	1.002e+00	9.056e-01	4.020e-03	1.705e+00	6.482e-02	2.985e-01
Lrp1b	9545	9545	2.642e-02	-4.391e+00	4.149e-01	-3.083e-03	-4.922e-01	1.000e+00	1.000e+00
Emd	3585	3585	5.975e-01	3.618e+00	7.472e-01	3.436e-03	1.122e+00	1.341e-01	4.405e-01
Ctif	1559	1559	2.560e-01	7.281e-01	1.250e+00	4.350e-03	2.654e+00	2.123e-02	1.653e-01
Spats2l	542	542	5.936e-02	-4.736e-01	1.518e+00	-4.525e-03	1.133e+00	1.323e-01	4.405e-01
Snx25	721	721	1.288e-01	1.493e+00	1.628e+00	-8.773e-03	1.444e+00	8.924e-02	3.516e-01
Akr1e1	364	364	9.002e-02	2.401e+00	1.033e+00	3.495e-03	-7.532e-02	1.000e+00	1.000e+00
Rab1b	1468	1468	3.513e-01	3.733e+00	4.685e-01	3.370e-03	-5.695e-01	1.000e+00	1.000e+00
Esd	387	387	9.817e-02	2.457e+00	6.343e-01	3.733e-03	6.546e-02	7.175e-01	1.000e+00
